experiment_id,experiment_name,source_worktree,source_branch,source_commit,source_path,category,status,scientific_question,main_result,used_in_thesis,covered_by_final_release,archive_target,size,notes
R-09,FN-PRA,remote-only,origin/feature/fn-pra,a620523ba8c0b171e0a0eedacd9077a1c246f6ad,git:research/fn_pra,SUMMARY_ONLY,NOT_SUPPORTED,Can force-normalized post-refinement improve quality and geometry?,"Trade-off signals existed, but engineering/scientific gates were NO_GO.",no,no,research_archive/other_explorations/remote_branch_studies/fn_pra,git-object,
R-10,GemNet Fused Inference Fastgate,remote-only,origin/feature/gemnet-fused-inference-fastgate,83b468fd143fb996207b0c03597b75fb7fcd76cb,git:research/gemnet_fused_fastgate,SUMMARY_ONLY,ENGINEERING_ONLY,Can kernel fusion accelerate the guidance path?,GPU acceleration was NO_GO; strict equivalence and throughput gates failed.,no,no,research_archive/other_explorations/remote_branch_studies/gemnet_fused,git-object,
R-11,MPS Runtime Fastgate,remote-only,origin/feature/mps-runtime-fastgate,e2aef29bdfe75acb51b5adb9461d5cbf1fa7b639,git:research/mps_fastgate,SUMMARY_ONLY,ENGINEERING_ONLY,Can an MPS-style runtime optimization help MatterGen?,Final state was MPS_NO_GO.,no,no,research_archive/other_explorations/remote_branch_studies/mps_runtime,git-object,
R-12,Post-Generation Quality Modules Fastgate,remote-only,origin/feature/postgen-quality-modules-fastgate,9aa23f94e1b5ef627a165ba5dcc4bd297715ba40,git:reports/postgen_fastgate,SUMMARY_ONLY,MIXED,Which post-generation quality module merits validation?,Most candidates were NO_GO; Q3 E3-PCR advanced.,no,no,research_archive/other_explorations/remote_branch_studies/postgen_modules,git-object,
R-13,Q3 E3-PCR Frozen64,remote-only,origin/feature/q3-e3-pcr-frozen64,87853b030ff7d9350ef41574bf0c3f24f6093dc0,git:reports/q3_e3_pcr/frozen64,SUMMARY_ONLY,MIXED,Does Q3 reproduce and is the learned gate necessary?,"Force benefit reproduced, but the learned-gate mechanism was not supported at this stage.",no,no,research_archive/other_explorations/remote_branch_studies/q3_e3_pcr_frozen64,git-object,
R-14,Q3 E3-PCR Formal256,remote-only,origin/feature/q3-e3-pcr-formal256,d91598b4b5bdca7dcb51de1be4c4d1d83cd26386,git:reports/q3_e3_pcr/formal256,SUMMARY_ONLY,SUPPORTED,Does Q3 E3-PCR confirm at 256 seeds?,Historical final state was E3_G_FORMAL_CONFIRMED; DFT remained false.,no,no,research_archive/other_explorations/remote_branch_studies/q3_e3_pcr_formal256,git-object,
R-15,RP-QTFG,remote-only,origin/feature/rp-qtfg,f413e4c7b8e1d3ec53767a857f30cd427ce91e50,git:research/rp_qtfg,SUMMARY_ONLY,NOT_SUPPORTED,Can online query-time force guidance improve structures?,The MVP was NO_GO and the 32-seed stage was not started.,no,no,research_archive/other_explorations/remote_branch_studies/rp_qtfg,git-object,
R-16,SPG MatterGen Fastgate,remote-only,origin/feature/spg-mattergen-fastgate,a6718d2c0a0ba362b3c7cb8d03c1da6fd5258123,git:research/spg_fastgate,SUMMARY_ONLY,MIXED,Can static periodic-graph execution accelerate MatterGen safely?,"The overall fastgate advanced, while native batching and field-safe BF16 did not.",no,no,research_archive/other_explorations/remote_branch_studies/spg_fastgate,git-object,
R-17,SPG Static Periodic Graph MVP,remote-only,origin/feature/spg-static-periodic-graph-mvp,425bfdc8cab09aae6ee81df5581ae3661f7ec3d2,git:research/spg_static_mvp,SUMMARY_ONLY,ENGINEERING_ONLY,Does a single-bucket static graph meet performance gates?,Correctness passed but performance gates failed; generation was not run.,no,no,research_archive/other_explorations/remote_branch_studies/spg_static_mvp,git-object,
X-01,ALM-GEN P0 Residual Structures,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/alm-gen-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/alm_gen_p0,EXTERNAL_DATA_ONLY,INCONCLUSIVE,Was ALM-GEN evaluated as a viable route?,No defensible scientific verdict can be reconstructed.,no,no,research_archive/other_explorations/alm_gen_p0,4258368,MANUAL_REVIEW_REQUIRED
X-02,Composable Property Adapter Residual Artifacts,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/composable-property-adapter-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/composable_property_adapter_p0,EXTERNAL_DATA_ONLY,INCONCLUSIVE,Did composable adapters improve property control?,The surviving evidence is insufficient for a scientific verdict.,no,no,research_archive/other_explorations/composable_property_adapter,11648536,MANUAL_REVIEW_REQUIRED
X-03,MatterGen LoRA Residual Artifacts,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/mattergen-lora-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattergen_lora_p0,EXTERNAL_DATA_ONLY,INCONCLUSIVE,Did LoRA provide a useful property-control route?,No recoverable confirmatory conclusion.,no,no,research_archive/other_explorations/mattergen_lora,113064,MANUAL_REVIEW_REQUIRED
X-04,MatterGen RL P0,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/mattergen-rl-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/mattergen_rl_p0,SUMMARY_ONLY,INCONCLUSIVE,Can reward-weighted denoising improve magnetic-density targeting?,"The training run completed, but the remaining evidence is not a confirmatory method result.",no,no,research_archive/other_explorations/mattergen_rl,242178,MANUAL_REVIEW_REQUIRED
X-05,Final Thesis Results Build Package,/mnt/datasets-livsyn/dxl/mattergen_v1,experiment/raab-sc-p0,1af301c5e534ff6b9b9f96ea5dab48036d9c46af,experiments/final_thesis_results,IGNORE,ENGINEERING_ONLY,Should the generated final package be copied again?,"This is a duplicate build/output source, not a distinct experiment.",core,yes/full,research_archive/ignored/final_thesis_results_duplicate,4530092,
